S No, Exercise, Workflow
01, Get Employee (Basic), https://flowgear.me/s/X5Hw7Lk
02, Get Employee (Error Handling), https://flowgear.me/s/c1qZQNS
03, Get Weather, https://flowgear.me/s/iZBDxlN
04, Get File, https://flowgear.me/s/GZnuJA4
05, Popular Nodes (Iteration & Sub-Workflows), https://flowgear.me/s/eDtpzrf
06, Popular Nodes (Key-Values & Excel), https://flowgear.me/s/eDtpzrf
07, REST, https://flowgear.me/s/ximCgJJ
08, SOAP, https://flowgear.me/s/3PfPSom
09, QuickMap (Basic), https://flowgear.me/s/Dq8vd2f
10, QuickMap (Extended), https://flowgear.me/s/Dq8vd2f
11, Working with Files, https://flowgear.me/s/iuMLRVx
12, Working with Databases, https://flowgear.me/s/QIiKOSy
13, ETL, https://flowgear.me/s/6eLCP7x
14, Key-Value Report, https://flowgear.me/s/cWBdweF
15, One Extract, Many Load (Parent), https://flowgear.me/s/74g34rE
15, One Extract, Many Load (Child), https://flowgear.me/s/JPVYlNl
16, Many Extract, One Load (Parent), https://flowgear.me/s/QNF5FAl
16, Many Extract, One Load (Child), https://flowgear.me/s/Af0mbvq
17, Enqueue, https://flowgear.me/s/rqhFsvI
17, Dequeue, https://flowgear.me/s/Mn4nG09
18, Cached Result, https://flowgear.me/s/qQyun8W
19, API, https://flowgear.me/s/85bKCaF
21, Release Management, https://flowgear.me/s/JRuC2J